date,brazil_totalSnow_cm,brazil_maxtempC,brazil_mintempC,brazil_sunHour,brazil_averageHumidity,brazil_averageWindspeedKmph,brazil_averagePressure,brazil_averageCloudCover,vietnam_totalSnow_cm,vietnam_maxtempC,vietnam_mintempC,vietnam_sunHour,vietnam_averageHumidity,vietnam_averageWindspeedKmph,vietnam_averagePressure,vietnam_averageCloudCover,colombia_totalSnow_cm,colombia_maxtempC,colombia_mintempC,colombia_sunHour,colombia_averageHumidity,colombia_averageWindspeedKmph,colombia_averagePressure,colombia_averageCloudCover,indonesia_totalSnow_cm,indonesia_maxtempC,indonesia_mintempC,indonesia_sunHour,indonesia_averageHumidity,indonesia_averageWindspeedKmph,indonesia_averagePressure,indonesia_averageCloudCover,ethiopia_totalSnow_cm,ethiopia_maxtempC,ethiopia_mintempC,ethiopia_sunHour,ethiopia_averageHumidity,ethiopia_averageWindspeedKmph,ethiopia_averagePressure,ethiopia_averageCloudCover,honduras_totalSnow_cm,honduras_maxtempC,honduras_mintempC,honduras_sunHour,honduras_averageHumidity,honduras_averageWindspeedKmph,honduras_averagePressure,honduras_averageCloudCover,india_totalSnow_cm,india_maxtempC,india_mintempC,india_sunHour,india_averageHumidity,india_averageWindspeedKmph,india_averagePressure,india_averageCloudCover,uganda_totalSnow_cm,uganda_maxtempC,uganda_mintempC,uganda_sunHour,uganda_averageHumidity,uganda_averageWindspeedKmph,uganda_averagePressure,uganda_averageCloudCover,mexico_totalSnow_cm,mexico_maxtempC,mexico_mintempC,mexico_sunHour,mexico_averageHumidity,mexico_averageWindspeedKmph,mexico_averagePressure,mexico_averageCloudCover,guatemala_totalSnow_cm,guatemala_maxtempC,guatemala_mintempC,guatemala_sunHour,guatemala_averageHumidity,guatemala_averageWindspeedKmph,guatemala_averagePressure,guatemala_averageCloudCover,peru_totalSnow_cm,peru_maxtempC,peru_mintempC,peru_sunHour,peru_averageHumidity,peru_averageWindspeedKmph,peru_averagePressure,peru_averageCloudCover,nicaragua_totalSnow_cm,nicaragua_maxtempC,nicaragua_mintempC,nicaragua_sunHour,nicaragua_averageHumidity,nicaragua_averageWindspeedKmph,nicaragua_averagePressure,nicaragua_averageCloudCover
2017-08-01,0.0,27,16,11.0,45.375,8.625,1020.0,0.0,0.0,27,17,12.6,52.375,5.375,1015.75,0.0,0.0,26,15,8.9,74.125,18.75,1018.25,51.625,0.0,32,26,12.8,72.5,19.5,1013.75,21.625,0.0,33,18,12.9,74.375,2.75,1014.0,14.75,0.0,37,27,11.6,46.5,24.375,1008.0,26.375,0.0,33,28,10.2,78.25,9.375,1012.0,37.875,0.0,27,16,12.9,84.625,6.625,1014.25,33.5,0.0,28,18,12.8,91.125,4.25,1014.625,72.0,0.0,29,17,8.7,56.875,10.125,1017.375,0.0,0.0,39,23,11.6,59.625,7.0,1012.625,35.25,0.0,35,22,9.4,82.5,4.0,1003.25,59.875
2017-08-02,0.0,28,17,11.0,42.125,11.125,1018.625,1.25,0.0,28,17,12.6,49.25,5.75,1014.75,1.25,0.0,25,15,10.2,70.75,22.875,1018.625,52.75,0.0,32,25,12.8,73.0,12.125,1014.375,35.125,0.0,31,18,12.9,80.5,3.25,1014.375,40.375,0.0,37,27,11.6,47.25,26.5,1008.25,17.5,0.0,33,27,11.6,79.25,9.25,1011.625,46.125,0.0,27,15,12.9,83.625,6.625,1015.0,30.625,0.0,26,18,9.3,88.125,9.5,1014.75,74.25,0.0,29,17,8.7,55.875,10.5,1016.5,0.0,0.0,38,23,11.6,54.125,4.75,1012.5,13.625,0.0,31,21,9.4,96.625,3.75,1003.25,77.125
2017-08-03,0.0,23,17,11.1,50.125,20.625,1014.875,11.75,0.0,29,18,12.6,51.125,5.625,1014.5,0.375,0.0,24,15,11.6,68.375,20.0,1018.25,46.875,0.0,33,25,12.8,73.0,10.625,1014.375,18.125,0.0,31,17,12.9,75.25,4.5,1015.125,16.875,0.0,34,27,10.3,51.125,27.125,1007.125,36.5,0.0,33,28,11.6,78.625,9.25,1010.875,37.375,0.0,26,18,12.9,87.5,6.875,1016.0,42.25,0.0,27,18,12.8,87.25,11.5,1014.5,65.75,0.0,29,17,8.7,56.75,9.75,1017.25,0.0,0.0,38,25,11.6,47.125,4.75,1011.625,12.25,0.0,32,21,10.7,95.875,3.75,1001.375,79.125
2017-08-04,0.0,19,15,5.5,75.375,15.25,1022.0,82.75,0.0,27,18,12.6,57.0,4.75,1014.875,0.0,0.0,23,15,10.2,74.125,19.875,1017.125,38.5,0.0,34,25,12.8,66.125,10.375,1013.5,10.75,0.0,31,18,12.8,81.75,3.625,1014.625,65.375,0.0,33,27,7.6,52.75,28.125,1005.5,68.5,0.0,32,29,11.6,77.0,9.25,1010.75,29.25,0.0,28,15,12.9,78.0,10.125,1015.375,8.375,0.0,27,19,11.9,88.375,10.5,1013.5,62.5,0.0,29,17,8.7,55.5,9.75,1017.25,0.0,0.0,39,25,10.3,46.875,4.75,1010.625,21.25,0.0,33,21,8.1,90.75,3.625,1001.5,83.75
2017-08-05,0.0,19,13,7.1,77.0,17.0,1023.875,70.25,0.0,27,18,12.6,56.625,4.875,1014.625,7.125,0.0,24,14,11.6,76.75,21.875,1016.375,40.0,0.0,33,25,12.8,71.625,8.125,1012.875,28.25,0.0,31,19,12.8,82.875,3.875,1013.625,64.75,0.0,35,27,8.9,52.25,24.875,1004.375,59.25,0.0,33,28,11.6,77.125,10.75,1010.875,36.25,0.0,27,17,12.9,80.875,12.125,1014.625,28.625,0.0,28,19,10.6,89.625,8.5,1012.75,69.375,0.0,29,17,8.7,56.625,9.75,1016.25,0.0,0.0,37,24,11.6,58.75,4.625,1010.0,15.5,0.0,29,22,9.4,98.125,3.125,1003.625,80.625
2017-08-06,0.0,21,13,11.1,73.625,12.875,1023.25,28.375,0.0,29,18,12.6,50.625,5.5,1013.75,0.0,0.0,24,16,10.2,75.5,21.5,1015.75,56.0,0.0,32,26,12.8,73.625,7.875,1012.0,14.875,0.0,30,18,12.8,83.0,4.375,1012.875,63.25,0.0,34,27,10.3,52.625,23.75,1004.5,50.625,0.0,33,28,11.6,77.75,10.125,1011.0,39.375,0.0,28,16,12.9,74.0,12.875,1013.25,3.25,0.0,27,18,9.3,89.375,6.125,1011.625,86.375,0.0,30,18,7.2,55.375,9.625,1016.125,26.75,0.0,37,24,11.6,55.5,7.0,1009.625,9.625,0.0,32,21,10.7,92.25,3.125,1006.75,74.625
2017-08-07,0.0,30,15,11.1,58.25,7.0,1019.75,0.0,0.0,29,18,12.6,49.25,5.125,1013.625,6.875,0.0,25,16,10.2,70.375,21.375,1015.375,51.25,0.0,32,25,12.8,74.875,6.375,1011.5,26.375,0.0,32,17,12.8,80.375,3.375,1011.875,54.25,0.0,36,27,11.6,48.625,20.875,1005.25,31.5,0.0,33,28,11.6,77.125,11.0,1011.125,42.0,0.0,28,15,12.9,79.125,7.5,1012.375,16.75,0.0,24,19,9.3,95.25,2.875,1011.875,79.375,0.0,29,17,8.7,55.75,10.25,1015.5,0.0,0.0,32,24,9.0,79.375,9.75,1011.0,53.75,0.0,33,20,10.7,85.875,4.375,1007.5,68.25
2017-08-08,0.0,30,18,11.1,43.875,11.0,1016.5,9.375,0.0,29,18,12.6,51.625,5.75,1013.25,0.0,0.0,26,18,11.6,62.125,23.0,1015.5,43.125,0.0,33,24,11.9,75.25,8.625,1011.625,57.625,0.0,32,18,12.8,76.25,4.375,1011.375,34.25,0.0,34,27,8.9,52.625,19.125,1006.5,53.875,0.0,32,29,10.2,78.125,10.375,1011.75,44.25,0.0,23,17,9.3,93.625,6.375,1012.25,79.0,0.0,27,19,8.0,89.5,4.375,1011.875,87.5,0.0,29,17,8.7,53.375,9.0,1015.5,0.0,0.0,33,22,9.0,73.0,7.0,1012.0,52.75,0.0,34,20,11.9,79.875,4.875,1007.25,60.125
2017-08-09,0.0,31,20,11.1,40.0,15.375,1014.75,3.5,0.0,28,18,12.6,53.25,5.375,1014.375,0.0,0.0,22,16,10.2,68.875,22.5,1016.625,35.625,0.0,33,24,12.8,68.25,8.25,1012.25,1.625,0.0,35,18,12.8,75.25,3.625,1012.0,16.125,0.0,32,27,7.6,63.625,17.75,1007.125,61.625,0.0,33,28,10.2,76.25,10.0,1011.875,37.0,0.0,24,16,12.9,88.625,6.125,1012.75,47.875,0.0,28,18,12.8,90.25,6.625,1012.5,65.5,0.0,30,18,8.7,51.0,9.5,1017.375,0.0,0.0,37,23,10.3,62.25,6.125,1011.0,27.875,0.0,34,22,13.0,76.875,4.875,1006.75,42.375
2017-08-10,0.0,25,18,10.1,73.625,11.375,1019.0,34.625,0.0,28,17,12.6,49.75,5.5,1015.0,0.0,0.0,26,17,10.2,65.25,22.375,1015.625,46.625,0.0,32,25,12.8,71.5,10.25,1013.75,34.5,0.0,32,19,12.8,74.375,4.125,1014.0,21.0,0.0,33,25,11.6,61.75,18.875,1007.625,62.25,0.0,34,28,11.6,74.0,9.875,1011.125,20.875,0.0,25,18,11.9,88.5,4.875,1014.25,49.375,0.0,25,18,8.0,94.875,6.5,1014.375,92.0,0.0,30,18,8.7,53.75,10.25,1017.25,0.0,0.0,36,24,11.6,58.625,5.25,1010.25,16.0,0.0,33,23,13.0,80.25,3.875,1006.375,43.25
